City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
420,Kahului,US,77.0,20.89,-156.47,few clouds,Maui Seaside Hotel
423,Bushehr,IR,78.8,28.97,50.84,clear sky,Yas Hotel
426,Nepomuceno,BR,83.77,-21.23,-45.23,overcast clouds,Hotel Menezes
434,Matagami,NG,75.47,9.67,8.4,overcast clouds,Hotel
435,Abalak,NE,86.81,15.46,6.28,few clouds,auberge de tenere
436,High Rock,BS,78.8,26.63,-78.28,few clouds,Ocean Pearl Bonefishing Resort
437,Pandan,PH,81.25,11.72,122.09,clear sky,Le Palme Beach Resort
443,Quelimane,MZ,80.6,-17.88,36.89,few clouds,Hotel Flamingo
445,Rio Tercero,AR,87.1,-32.17,-64.11,overcast clouds,Hospedaje Las Violetas
447,Ternate,PH,82.4,14.29,120.72,broken clouds,Puerto Azul Clubhouse
456,Ilhabela,BR,76.32,-23.78,-45.36,overcast clouds,Ilha Flat Hotel
468,Calabozo,VE,87.85,8.92,-67.43,scattered clouds,Hotel Giardini
469,Libertador General San Martin,AR,83.21,-23.81,-64.79,overcast clouds,Posada del Sol
471,Maceio,BR,86.0,-9.67,-35.74,broken clouds,Mercure Maceio Pajucara Hotel
478,The Valley,AI,87.8,18.22,-63.06,haze,CeBlue Villas & Beach Resort
491,Victoria,BN,80.01,5.28,115.24,broken clouds,Tiara Labuan Hotel
497,Nuevitas,CU,78.8,21.55,-77.27,broken clouds,Hotel Caonaba
499,Shasta Lake,US,75.99,40.68,-122.36,clear sky,Shasta Dam Motel
506,Bubaque,GW,84.36,11.28,-15.83,few clouds,Casa Dora
508,Umm Lajj,SA,78.4,25.02,37.27,scattered clouds,Tanal Hotel Apartment
511,Santa Fe,AR,88.0,-31.62,-60.7,clear sky,Conquistador Hotel
519,Santiago Del Estero,AR,89.37,-27.8,-64.26,clear sky,Hotel Urbano
521,Namatanai,PG,81.72,-3.66,152.44,overcast clouds,Namatanai Hotel
523,Goure,NE,88.66,13.98,10.27,broken clouds,
532,San Vicente,EC,84.2,-0.59,-80.41,broken clouds,La Piedra Hotel
533,Abeche,TD,83.19,13.83,20.83,broken clouds,Assaleh Hamdan Haroune
534,Porto Novo,BR,78.8,-23.68,-45.44,broken clouds,Harmonia
536,Goundam,ML,88.7,16.42,-3.66,clear sky,
537,Ixtapa,MX,84.99,20.71,-105.21,clear sky,Container Inn Puerto Vallarta
544,Samana,EC,87.8,0.12,-76.97,scattered clouds,
558,Aransas Pass,US,77.0,27.91,-97.15,broken clouds,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
559,Winneba,GH,86.0,5.35,-0.62,few clouds,Windy Lodge Beach Resort
560,Riberalta,BO,87.8,-11.0,-66.08,broken clouds,Hotel Colonial
